season,team,position,status,full_name,first_name,last_name,jersey_number,depth_chart_position,gsis_id,espn_id,years_exp,headshot_url,week
2026,KC,QB,RES,Chris Oladokun,Chris,Oladokun,19,QB,00-0037324,4044111,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zlcmvcyi6laaklmjv1j2",1
2026,SF,QB,CUT,Adrian Martinez,Adrian,Martinez,4,QB,00-0038658,4361182,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w0ehlpfwk70tqpswllwv",1
2026,TEN,QB,CUT,Will Levis,Will,Levis,8,QB,00-0039152,4361418,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/npovrxpll0gqlkptsn6r",1
2026,BAL,QB,CUT,Austin Reed,Austin,Reed,15,QB,00-0039464,4368343,2,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gh0y2g1z1xqop1t0boeu",1
2026,JAX,QB,RES,Carter Bradley,Carter,Bradley,10,QB,00-0039534,4362260,2,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ystkos8c5gnjtsgxg7vg",1
2026,MIA,QB,CUT,Cam Miller,Camden,Miller,15,QB,00-0040222,4693331,1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cmxq5676dl7nfub07rao",1
2026,TB,QB,CUT,Connor Bazelak,Connor,Bazelak,16,QB,00-0040415,,1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q3vgg2tiyhwnbnwpuc7o",1
2026,NO,QB,CUT,Hunter Dekkers,Hunter,Dekkers,13,QB,00-0040656,4565358,1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fcuzrfcbmtqlxksgmg7i",1
2026,LV,QB,CUT,Jacob Clark,Jacob,Clark,16,QB,00-0040996,,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zw2yzeb5jhowboogfpki",1
2026,PIT,QB,ACT,Aaron Rodgers,Aaron,Rodgers,8,QB,00-0023459,8439,21,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2
2026,CIN,QB,ACT,Joe Flacco,Joseph,Flacco,16,QB,00-0026158,11252,18,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dre1d2f2d6dxqohzn5l2",2
2026,CIN,QB,INA,Josh Johnson,Joshua,Johnson,11,QB,00-0026300,11394,18,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sijqkai2yy1cbw3rwndh",2
2026,LA,QB,ACT,Matthew Stafford,John,Stafford,9,QB,00-0026498,12483,17,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",2
